MealType,HealthGroup,MinutesSinceMeal,Libre GL mean,Libre GL std,Dexcom GL mean,Dexcom GL std
Breakfast,Type 2 diabetic,9.0,119.03,19.385434953054016,135.83499999999998,18.66964559563643
Breakfast,Type 2 diabetic,10.0,120.335,19.945426897688954,136.32999999999998,18.636691133628215
Breakfast,Type 2 diabetic,11.0,121.75999999999999,20.39460740970543,136.8,18.584746985439978
Breakfast,Type 2 diabetic,12.0,123.215,20.9125406425273,137.375,18.436484869925025
Breakfast,Type 2 diabetic,13.0,124.72333333333333,21.458529805755596,138.2,18.36250360004155
Breakfast,Type 2 diabetic,14.0,126.27833333333334,22.072013128230147,139.26500000000001,18.48177966233716
Breakfast,Type 2 diabetic,15.0,127.85333333333332,22.712599011257023,140.435,18.79453753157127
Breakfast,Type 2 diabetic,16.0,129.43333333333334,23.395672524582263,141.655,19.14645243969862
Breakfast,Type 2 diabetic,17.0,131.08333333333331,24.143742147817207,142.95999999999998,19.553907078926244
Breakfast,Type 2 diabetic,18.0,132.71833333333333,24.9163225828799,144.475,20.124111702007426
Breakfast,Type 2 diabetic,19.0,134.345,25.675178464302622,146.03,20.75258649310601
Breakfast,Type 2 diabetic,20.0,135.99833333333333,26.458277589281078,147.605,21.55524744250672
Breakfast,Type 2 diabetic,21.0,137.63666666666668,27.246599725125268,149.285,22.39440807033114
Breakfast,Type 2 diabetic,22.0,139.24833333333333,28.025442195555286,150.97,23.259232520354104
Breakfast,Type 2 diabetic,23.0,140.86166666666665,28.791322638240494,152.675,24.219622792379084
Breakfast,Type 2 diabetic,24.0,142.505,29.523165417961135,154.31,25.17886578166861
Breakfast,Type 2 diabetic,25.0,144.14666666666668,30.273011120124835,155.975,26.064385269696658
Breakfast,Type 2 diabetic,26.0,145.74,31.076667624687015,157.715,27.00814264681615
Breakfast,Type 2 diabetic,27.0,147.32333333333332,31.87815317066924,159.405,27.86294248823272
Breakfast,Type 2 diabetic,28.0,148.8,32.69998998056947,161.0,28.555443147206333
Breakfast,Type 2 diabetic,29.0,150.25333333333333,33.525688411661044,162.55,29.240251498444884
Breakfast,Type 2 diabetic,30.0,151.70833333333331,34.352324637165495,163.945,29.837164486850707
Breakfast,Type 2 diabetic,31.0,153.07999999999998,35.214061552938354,165.31,30.49452073523692
Breakfast,Type 2 diabetic,32.0,154.22833333333332,35.93460311252512,166.70999999999998,31.223822266389433
Breakfast,Type 2 diabetic,33.0,155.26500000000001,36.60129833607053,168.095,31.714010088562365
Breakfast,Type 2 diabetic,34.0,156.14000000000001,37.20675673098567,169.345,32.22959262891235
Breakfast,Type 2 diabetic,35.0,156.98,37.8146241627469,170.54500000000002,32.73965642098437
Breakfast,Type 2 diabetic,36.0,157.74333333333334,38.39989776220958,171.76500000000001,33.268477033109946
Breakfast,Type 2 diabetic,37.0,156.89743589743588,38.21370148986427,172.76923076923077,34.27411293985251
Breakfast,Type 2 diabetic,38.0,158.87833333333333,39.24748239879693,173.79500000000002,34.20680656513577
Breakfast,Type 2 diabetic,39.0,157.94529914529915,39.28473022040534,174.45128205128205,35.0655241676949
Breakfast,Type 2 diabetic,40.0,159.76166666666666,40.258792141957564,175.51500000000001,35.182130881078436
Breakfast,Type 2 diabetic,41.0,158.7846153846154,40.48663186070435,175.97435897435898,36.13530652793396
Breakfast,Type 2 diabetic,42.0,160.31166666666667,41.205117894998686,176.98,36.354544737583005
Breakfast,Type 2 diabetic,43.0,159.26495726495725,41.44685736343763,176.98461538461538,37.41357436223789
Breakfast,Type 2 diabetic,44.0,160.57999999999998,42.02595914628531,177.745,37.5388752341643
Breakfast,Type 2 diabetic,45.0,159.52649572649574,42.400087705061544,177.50256410256412,38.440380955307994
Breakfast,Type 2 diabetic,46.0,160.71833333333333,42.88797436029526,178.195,38.647983660543545
Breakfast,Type 2 diabetic,47.0,159.48888888888888,43.138572672745156,177.64102564102564,39.632527297322454
Breakfast,Type 2 diabetic,48.0,160.37333333333333,43.3179375674756,178.17000000000002,39.65294440517628
Breakfast,Type 2 diabetic,49.0,159.0957264957265,43.60175380042565,177.3948717948718,40.43871222842856
Breakfast,Type 2 diabetic,50.0,159.74,43.62132780322304,177.92000000000002,40.620313220774726
Breakfast,Type 2 diabetic,51.0,158.38974358974357,43.916330704694616,177.15384615384616,41.42306658546817
Breakfast,Type 2 diabetic,52.0,158.89000000000001,43.90099077985589,177.81,41.55246174323583
Breakfast,Type 2 diabetic,53.0,157.45811965811967,44.206329571103836,176.86666666666667,41.898934374926355
Breakfast,Type 2 diabetic,54.0,157.845,44.14973586147687,177.285,41.38665429635686
Breakfast,Type 2 diabetic,55.0,156.48717948717947,44.52906837925365,176.49743589743588,41.6846777806116
Breakfast,Type 2 diabetic,56.0,156.84333333333333,44.23144657477149,176.785,41.29847299592168
Breakfast,Type 2 diabetic,57.0,155.4854700854701,44.357906258674134,176.0,41.69616920432606
